jahr	liji1	phaenaut	wjphaenomene	SUMME
1700		0	0	0
1701		0	0	0
1702		0	0	0
1703		0	0	0
1704		0	0	0
1705		0	0	0
1706		0	0	0
1707		0	0	0
1708		0	0	0
1709		0	0	0
1710		0	0	0
1711	OF	5	3	7
1712		0	0	0
1713		0	0	0
1714		0	0	0
1715		0	0	0
1716		0	0	0
1717		0	0	0
1718		0	0	0
1719		0	0	0
1720		0	0	0
1721		0	0	0
1722		0	0	0
1723		0	0	0
1724		0	0	0
1725		0	0	0
1726		0	0	0
1727		0	0	0
1728		0	0	0
1729		0	0	0
1730	LR	4	3	3
1731		0	0	0
1732		0	0	0
1733		0	0	0
1734		0	0	0
1735		0	0	0
1736		0	0	0
1737		0	0	0
1738		0	0	0
1739		0	0	0
1740		0	0	0
1741		0	0	0
1742		0	0	0
1743		0	0	0
1744		0	0	0
1745		0	0	0
1746		0	0	0
1747		0	0	0
1748		0	0	0
1749	NF	5	2	0
1750		0	0	0
1751		0	0	0
1752		0	0	0
1753		0	0	0
1754		0	0	0
1755		0	0	0
1756		0	0	0
1757		0	0	0
1758		0	0	0
1759		0	0	0
1760		0	0	0
1761		0	0	0
1762		0	0	0
1763		0	0	0
1764		0	0	0
1765		0	0	0
1766		0	0	0
1767		0	0	0
1768		0	0	0
1769		0	0	0
1770	AO	1	0	8
1771		0	0	0
1772		0	0	0
1773	DW	1	1	11
1774		0	0	0
1775		0	0	0
1776	AT	1	0	8
1777		0	0	0
1778	FL	2	1	7
1779		0	0	0
1780	PL	6	1	4
1781		0	0	0
1782		0	0	0
1783		0	0	0
1784	VE	8	2	2
1785	LB	4	3	5
1786		0	0	0
1787		0	0	0
1789	AH	0	0	2
1790		0	0	0
1791		0	0	0
1792	PM	6	2	6
1793		0	0	0
1794	FE	2	1	9
1795		0	0	0
1796		0	0	0
1797		0	0	0
1798	BS	1	0	2
1799	EJ	1	1	5
1800		0	0	0
1801		0	0	0
1802	WA	10	3	7
1803		0	0	0
1804	NW	5	2	10
1805	FS	3	2	2
1806		0	0	0
1807		0	0	0
1808	PS	6	3	0
1809		0	0	0
1810	JK	4	2	10
1811	HJ	4	2	4
1812		0	0	0
1813		0	0	0
1814		0	0	0
1815		0	0	0
1816	PF	5	3	11
1817	EV	2	1	2
1818		0	0	0
1819		0	0	0
1820	TH	7	2	14
1821		0	0	0
1822	MV	5	1	14
1823		0	0	0
1824		0	0	0
1825	AJ	0	0	11
1826	BW	1	1	9
1827		0	0	0
1828		0	0	0
1829		0	0	0
1830		0	0	0
1831	GP	3	2	8
1832		0	0	0
1834	PA	5	3	15
1835	PG	5	3	10
1836		0	0	0
1837		0	0	0
1838		0	0	0
1839	PP	6	2	2
1840	IA	4	2	6
1841		0	0	0
1842		0	0	0
1843		0	0	0
1844	LM	4	3	7
1845		0	0	0
1846	AD	0	0	10
1847		0	0	0
1848		0	0	0
1849	LP	4	3	2
1850	AB	0	0	0
1851		0	0	0
1852	FM	3	2	1
1853		0	0	0
1854		0	0	0
1855	SH	6	3	1
1856		0	0	0
1857		0	0	0
1858	DG	1	1	9
1859		0	0	0
1860		0	0	0
1861		0	0	0
1862	MS	5	1	10
1863	UT	7	2	7
1864		0	0	0
1865		0	0	0
1866	JD	4	2	1
1867	JP	4	3	10
1868		0	0	0
1869		0	0	0
1870		0	0	0
1871		0	0	0
1872	DK	1	1	7
1873		0	0	0
1874	DP	1	1	5
1875	BP	1	0	2
1876		0	0	0
1877		0	0	0
1878		0	0	0
1879		0	0	0
1880		0	0	0
1881		0	0	0
1882		0	0	0
1883		0	0	0
1884		0	0	0
1885		0	0	0
1886		0	0	0
1887		0	0	0
1889		0	0	0
1890	SV	7	2	16
1891		0	0	0
1892		0	0	0
1893		0	0	0
1894		0	0	0
1896		0	0	0
1897		0	0	0
1898		0	0	0
1899		0	0	0
1900	GW	4	1	13
1901		0	0	0
1902		0	0	0
1903		0	0	0
1904		0	0	0
1905		0	0	0
1906		0	0	0
1907	SS	7	2	11
1908		0	0	0
1909		0	0	0
1910		0	0	0
1911		0	0	0
1912		0	0	0
1913		0	0	0
1914		0	0	0
1915		0	0	0
1916	VD	7	2	17
1917		0	0	0
1918	SB	6	3	1
1919		0	0	0
1920		0	0	0
1921		0	0	0
1922		0	0	0
1923		0	0	0
1924		0	0	0
1925	LS	4	3	6
1926		0	0	0
1927		0	0	0
1928		0	0	0
1929		0	0	0
1930		0	0	0
1931		0	0	0
1932		0	0	0
1933		0	0	0
1934		0	0	0
1935		0	0	0
1936		0	0	0
1937		0	0	0
1938		0	0	0
1939		0	0	0
1940		0	0	0
1941		0	0	0
1942		0	0	0
1943		0	0	0
1944		0	0	0
1945		0	0	0
1946		0	0	0
1947		0	0	0
1948	AK	1	0	10
1949		0	0	0
1950		0	0	0
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
