Jahr	Quelle
1700	0
1701	0
1702	0
1703	0
1704	0
1705	1
1706	0
1707	0
1708	0
1709	0
1710	0
1711	1
1712	0
1713	0
1714	0
1715	0
1716	0
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	0
1730	1
1731	0
1732	0
1733	1
1734	0
1735	1
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	1
1743	0
1744	0
1745	0
1746	0
1747	0
1748	0
1749	1
1750	0
1751	0
1752	0
1753	0
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	1
1772	0
1773	2
1774	5
1775	2
1776	0
1777	3
1778	3
1779	0
1780	1
1781	0
1782	4
1783	3
1784	2
1785	1
1786	0
1787	1
1789	2
1790	1
1791	0
1792	2
1793	1
1794	3
1795	0
1796	2
1797	0
1798	2
1799	1
1800	0
1801	0
1802	1
1803	1
1804	1
1805	4
1806	0
1807	0
1808	2
1809	0
1810	1
1811	1
1812	0
1813	0
1814	2
1815	0
1816	2
1817	3
1818	0
1819	2
1820	1
1821	1
1822	3
1823	0
1824	0
1825	7
1826	4
1827	3
1828	3
1829	1
1830	1
1831	1
1832	3
1834	2
1835	1
1836	1
1837	0
1838	0
1839	1
1840	4
1841	2
1842	1
1843	3
1844	1
1845	1
1846	1
1847	2
1848	27
1849	3
1850	5
1851	3
1852	1
1853	2
1854	2
1855	2
1856	0
1857	0
1858	3
1859	1
1860	7
1861	1
1862	2
1863	2
1864	2
1865	5
1866	3
1867	4
1868	2
1869	2
1870	2
1871	2
1872	1
1872	0
1874	2
1875	2
1876	4
1877	7
1878	2
1879	1
1880	2
1881	2
1882	3
1883	1
1884	1
1885	0
1886	1
1887	1
1889	5
1890	1
1891	1
1892	0
1893	2
1894	2
1896	1
1897	2
1898	3
1899	0
1900	3
1901	2
1902	2
1903	1
1904	0
1905	2
1906	0
1907	1
1908	0
1909	4
1910	1
1911	1
1912	1
1913	0
1914	0
1915	0
1916	1
1917	0
1918	1
1919	0
1920	0
1921	0
1922	0
1923	0
1924	1
1925	1
1926	0
1927	0
1928	1
1929	3
1930	2
1931	1
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	1
1949	0
1950	0
